Title,Location,Link,Distance,Review_Score,Ketegori,Number_Of_Reviews,Details
"The Taj Mahal Tower Mumbai
Opens in new window","Colaba, Mumbai",https://www.booking.com/hotel/in/the-taj-mahal-palace-tower.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=7471707_158036154_2_1_0&highlighted_blocks=7471707_158036154_2_1_0&matching_block_id=7471707_158036154_2_1_0&sr_pri_blocks=7471707_158036154_2_1_0__7728001&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,5.5,8.9,Fabulous ,3728.0,Superior Room City View King Bed
"Fairfield by Marriott Mumbai International Airport
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/fairfield-by-marriott-mumbai-international-airport.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=885593503_358033732_0_42_0&highlighted_blocks=885593503_358033732_0_42_0&matching_block_id=885593503_358033732_0_42_0&sr_pri_blocks=885593503_358033732_0_42_0__4164300&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,15.9,8.0,Very good ,7.0,Standard Twin Room with City View
"The Taj Mahal Palace, Mumbai
Opens in new window","Colaba, Mumbai",https://www.booking.com/hotel/in/the-taj-mahal-palace-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=245159501_137748730_2_1_0&highlighted_blocks=245159501_137748730_2_1_0&matching_block_id=245159501_137748730_2_1_0&sr_pri_blocks=245159501_137748730_2_1_0__14894832&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,5.5,9.0,Superb ,733.0,Luxury Grande Room City View
"The St. Regis Mumbai
Opens in new window","Worli, Mumbai",https://www.booking.com/hotel/in/palladium-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=46569619_246431445_2_2_0&highlighted_blocks=46569619_246431445_2_2_0&matching_block_id=46569619_246431445_2_2_0&sr_pri_blocks=46569619_246431445_2_2_0__9050000&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,2.8,8.7,Fabulous ,1081.0,"Guest room, 1 King, City view"
"The Resort
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/the-resort.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=42048702_248111845_2_41_0&highlighted_blocks=42048702_248111845_2_41_0&matching_block_id=42048702_248111845_2_41_0&sr_pri_blocks=42048702_248111845_2_41_0__4555405&from_beach_sr=1&beach_sr_walking_distance=97&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,22.9,7.7,Good ,509.0,Deluxe Room with Ocean View
"Taj Lands End
Opens in new window","Bandra, Mumbai",https://www.booking.com/hotel/in/taj-lands-end.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=7472214_351299016_2_41_0&highlighted_blocks=7472214_351299016_2_41_0&matching_block_id=7472214_351299016_2_41_0&sr_pri_blocks=7472214_351299016_2_41_0__9135000&from_beach_sr=1&beach_sr_walking_distance=1879&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.3,8.6,Fabulous ,3049.0,Serene Infinity Sea View Room King Bed
"Radisson Blu Mumbai International Airport
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/radisson-blu-mumbai-international-airport.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=683218601_279330376_2_42_0&highlighted_blocks=683218601_279330376_2_42_0&matching_block_id=683218601_279330376_2_42_0&sr_pri_blocks=683218601_279330376_2_42_0__6999300&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,16.7,8.2,Very good ,980.0,Superior Double or Twin Room
"Hotel Radient
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/radient.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=891573901_359336175_2_0_0&highlighted_blocks=891573901_359336175_2_0_0&matching_block_id=891573901_359336175_2_0_0&sr_pri_blocks=891573901_359336175_2_0_0__2800000&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,16.0,7.5,Good ,970.0,Deluxe Room
"Hotel Kumkum
Opens in new window","South Mumbai, Mumbai",https://www.booking.com/hotel/in/kumkum.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=74395902_348785298_2_2_0&highlighted_blocks=74395902_348785298_2_2_0&matching_block_id=74395902_348785298_2_2_0&sr_pri_blocks=74395902_348785298_2_2_0__1356600&from_beach_sr=1&beach_sr_walking_distance=1243&from=searchresults#hotelTmpl,450.0,7.4,Good ,144.0,Superior Double or Twin Room
"Grand Hyatt Mumbai Hotel and Residences
Opens in new window","Santacruz, Mumbai",https://www.booking.com/hotel/in/grand-hyatt.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=39041918_285745641_2_41_0&highlighted_blocks=39041918_285745641_2_41_0&matching_block_id=39041918_285745641_2_41_0&sr_pri_blocks=39041918_285745641_2_41_0__8190000&from_beach_sr=1&beach_sr_walking_distance=2791&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,12.5,8.4,Very good ,1942.0,Grand Twin Room 
